0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:40:43 +0530] "GET /BloodBankProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:40:44 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:16 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:16 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:16 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:16 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:16 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:17 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:42:48 +0530] "GET /BloodBankProject/ HTTP/1.1" 500 9987
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:05 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:05 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:05 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:05 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:05 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:06 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:43:25 +0530] "POST /BloodBankProject/success HTTP/1.1" 500 3398
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:45:30 +0530] "GET /BloodBankProject/ HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [10/Mar/2024:01:45:40 +0530] "POST /BloodBankProject/success HTTP/1.1" 200 19
